,工事分野,工事の種類,工種,工法・形式名,災害分類,事故分類,天候,事故発生年・月・時間,事故発生場所（都道府県）,事故に至る経緯と事故の状況,事故の要因（背景も含む）,事故発生後の対策
832,その他,土木一式,その他土木一式工事,その他土木一式工,労働災害,建設機械等の転倒、下敷、接触、衝突等,曇り,2021年5月9時,北海道,ジブクレーンのフレーム解体時に解体した部材の下敷きになり負傷した。,被災者は打合せとは違う箇所で作業を行っていたが、合図者やユニック操作者は注意する事もなくそのまま作業を進めてしまった。玉掛け作業で吊り箇所を本来かける箇所と違う箇所で吊り荷作業を行ってしまった。被災者は、吊り荷の下に入って作業をしていたため固定ピンをはずした時にフレームが折れ、間に挟まり被災した。,緊急安全大会を開催。
833,道路,舗装,アスファルト舗装工事,アスファルト舗装工,労働災害,建設機械等の転倒、下敷、接触、衝突等,晴,2021年5月12時,愛知県,手持ち式ブレーカーにてL形側溝桝上部の撤去中に、壊す箇所を変えようと持ち上げたが、手を滑らしてブレーカーが右足の上に落ちた。その時ブレーカーが誤作動を起こした為、負傷した。,手持ち式ブレーカーでのはつり作業は日常的に行っている作業だが、油断や慢心があった為落としてしまった。,緊急安全訓練会議を開催した。ブレーカーの取り扱いに注意するよう、周知・徹底することなどを確認した。
834,砂防・地滑り,土木一式,砂防工事,砂防ダム工,労働災害,墜落,晴,2021年5月13時,大分県,砂防堰堤工事の着工前測量作業中、測量杭を捜索している最中、壊れた石積の間の斜面を降りる最中に足を滑らし、滑落・転倒し、下にあったトランシットの三脚及び石で強打した。,斜面で滑りやすかった。倒木、枯枝、雑石等が点在していて、躓きやすかった。昼食後すぐの時間で、集中力が散漫になっていた。斜面の高低差があまり高くなかったため油断があった。転倒する場所が特定できないため、ピンポイントでの物理的な安全対策をとるのが難しかった。個人の行動に起因するため、具体的な対応が取りにくかった。,事故発生後に緊急の安全対策会議を開催し、注意喚起を行った。作業前に安全確認を行い、作業員の通行路を確認する。事前に作業に支障となる倒木、石等の撤去を行う。
835,河川,維持修繕,維持修繕工事,維持修繕工,労働災害,建設機械等の転倒、下敷、接触、衝突等,曇り,2021年5月9時,茨城県,除草作業中、ハンドガイド式草刈機械を方向転換させようとした際、キャタピラーが側溝に落ち、その反動で後ろに投げ出され転倒し、足をハンドガイド式草刈機械に乗り上げられその途中で安全装置が作動し停車した。,当該区域に側溝があることを認識し、KY時も気をつける事を確認していたが、小構造物ということで側溝を危険箇所と認識していなかった。また、リスクアセスメントによる検討が不足していたため。当該箇所においては、肩掛け式草刈機械による集水桝周り部分の先行草刈をしていたが、側溝周りについては、カラーコーンやテープによる目印を設置していなく、先行刈りもしていなかった。,側溝を危険箇所として位置付けて、作業計画書に必要な対策を明記する。朝礼時のＫＹ活動の実施の際、作業員全員で危険箇所を発言し、全員で現場踏査を実施し、全員が作業内容を把握したことを確認する事により事故再発防止の徹底を図る。側溝部においては、カラーコーン・テープあるいはポールにより目印を設置し、構造物への離隔の確保を徹底させる。ハンドガイド式草刈機械作業によるリスクアセスメントとして現場代理人が関係作業員へ再度安全教育を実施する。方向転換時は先にキロ杭・標識・工作物及び危険箇所の有無の確認を徹底させる。
836,道路,土木一式,その他土木一式工事,その他土木一式工,労働災害,その他,曇り,2021年5月11時,静岡県,道路開設工事で、支障木伐採中に、伐採して倒した木の枝払いをして梢端部を切り落したところ、当該木が他の伐採した木とともに斜面下方に動き出し、労働者が一緒に動き出した木と他の伐採してあった木との間に挟まれ負傷した。,枝払い作業の実施場所が不適切であった為。滑り落ちる可能性のある倒木は残根等を利用して固定していなかった為。周囲の安全確認を怠った。,伐採作業終了ののち、伐木の安定状態を作業員全員で確認し、次の作業手順を決める。枝払いの作業を行う際は、安全な場所まで伐木を移動させてから実施する。滑り落ちる可能性のある伐木は残根等を利用してワイヤー等で固定する。
837,道路,維持修繕,維持修繕工事,維持修繕工,第三者災害,その他,曇り,2021年5月11時,東京都,,,段差を常温合材にて擦り付けを行い、厚めの養生マットの敷設。段差付近には注意看板を設置し、交通誘導員を常駐させ、歩道橋利用者に対し注意を促した。
838,上水・工業用水,水道施設工事,上水・工業用水道工事,送配水施設工,労働災害,土砂崩壊,晴,2021年5月1時,宮城県,土止めの作業中、地山が崩れそうな状態に気付いた被災者は、土砂の崩壊を避けようと身を反転した時に、人力で土砂を積み込むために掘削溝内に置いていたバックホーのアームに接触し負傷した。,これまでの掘削溝内の土質が堅かったことから土砂崩壊はないだろうとの思い込みがあり、狭い掘削溝内にバケットを置いた為、異常時の作業員の退避に支障をきたしたこと。,土止め作業時には掘削溝内に土止めに必要な資機材、昇降設備以外は置かない。掘削溝内に立ち入る際には、地山・土止め作業主任者が地山の土質、湧水、亀裂の安全状態を確認してから立入りし、同作業主任者のもと作業を行う。
839,道路,土木一式,その他土木一式工事,その他土木一式工,第三者災害,倒壊,曇り,2021年5月11時,兵庫県,,,
840,道路,土木一式,その他土木一式工事,その他土木一式工,労働災害,倒壊,晴,2021年5月11時,大分県,ブロック積工床堀のため、既設擁壁前面の地山を掘削し、基礎砕石の施工中、既設擁壁が転倒し、道路路肩が崩壊し、下で基礎砕石を敷きならしていた作業員の足に擁壁が接触した。砕石を搬入するために現道に停車していたダンプトラックが転落し、バックホウが走行不能となった。,前日の雨の影響で、表面上の見た目より、地山内部の緩みがあったかもしれない。既設擁壁の厚みが薄く、自立していなかったので、車道の荷重に耐えられなかった。,作業箇所への材料搬入は安全な箇所にクレーンを設置して行う。クレーンヤード施工図、接触防止位置図に基づき施工を行い、事前に関係労働者へ周知する。掘削勾配を緩和する。現道と作業箇所の間に仮設ガードレールを設置する。斜面点検を引き続き行う。既設舗装変位点検を行う。
841,河川,土木一式,護岸工事,護岸工,第三者災害,建設機械等の転倒、下敷、接触、衝突等,晴,2021年5月13時,広島県,階段工における基礎砕石投入敷均し作業を行うため、無資格者がバックホウの運転をし、当該地堤防天端を移動中に、堤防天端上空を横架する引き込み線とバックホウのアームが接触し、当該電線を切断した。,出水期が迫っており、工期短縮する考えがあった。無資格者によるバックホウの運転。,取扱責任者を機械毎に定めるとともに、識別できるよう腕章を着用する。取扱責任者のベルトと鍵を紐でつなぎ、取扱責任者が運転席を離れる場合は鍵を抜かなければ離れられないようにする。鍵の保管管理を徹底するため、取扱責任者は作業終了後に鍵を監理技術者に返却し、監理技術者は現場事務所内の机の中に保管する。鍵の受け渡し返却時とも受け渡し簿に署名する。明朝の朝礼時に安全担当者と監理技術者が確認し取扱責任者に鍵を渡すこととする。
842,道路,とび・土工・コンクリート,土工事,掘削又は切土工,労働災害,建設機械等の転倒、下敷、接触、衝突等,,2021年5月15時,熊本県,,,
843,下水道,土木一式,その他土木一式工事,その他土木一式工,労働災害,その他,,2021年5月10時,沖縄県,現場内の作業場へ向かう際に昇降階段を降下中、足元を良く見ていなかった為、バランスを崩し階段の踏板に接触し負傷した。,作業場へ向かった被災者の昇降階段降下中の足元の安全確認・確保不足によるヒューマンエラー。,
844,建築,建物関連,建物関連工事,建物関連工事,労働災害,工具等取り扱い,曇り,2021年5月14時,千葉県,管理棟屋上でアスファルト防水を除去するために、躯体のアゴをブレーカーを使用して斫り作業をしていたところ、ノミが滑り、被災者に先端が当たり負傷した。,作業が広範囲にて、作業者が本来作業する予定以外のことをしたことを、作業指揮者が他の作業場所にいて、作業者の行動を管理していなかった。,作業員への教育を徹底し、予定外作業を行わないよう指導した。コンクリートブレーカーを用いて斫り作業を行う作業員を腕章の着用をさせることで明確にした。災害発生後は速やかに、元請業者に報告するよう再周知をした。関係者に再度安全対策について周知した。
845,道路,舗装,アスファルト舗装工事,アスファルト舗装工,第三者災害,自動車の転倒、下敷、接触、衝突等,曇り,2021年5月20時,京都府,バイクにて帰宅走行中、左折しようしたところで当該工事個所の路面不陸にハンドルを取られ転倒し被災した。,工事個所は当日舗装撤去が行われ砕石にて埋め戻し仮復旧されていたが、作業終了後の降雨とその後の車の走行により轍ができていてハンドルを取られた。,占用帯外で車が通行する箇所を掘削し，作業途中で開放する場合は，As舗装等にて仮舗装を行う。工事作業箇所は作業後も占用を行い，安全に留意する。事故の再発防止として，再発防止協議会を開催し，今後の事故防止に努める。
846,河川,維持修繕,維持修繕工事,維持修繕工,第三者災害,建設機械等の転倒、下敷、接触、衝突等,雨,2021年5月8時,高知県,バックホウが砕石を入れたコンクリートバケットを吊ったまま坂路を走行中に降口付近で後部が浮き、横転した。運転手は怪我がなかったが、横転したバックホウが樋門構造物に接触したので一部損傷した。,作業手順を確認してない。用途外使用した。坂路勾配が緩いので油断した。無資格者で作業した。路肩に安全柵、注意表示が無い。前日の雨で路肩が軟弱。詳細な作業手順書が無い。坂路の点検表が無い。誘導員を配置してない。作業に即した教育がされてない。現場が点在し職員が現場に常駐出来なかった。下請け指導が不適切。緊急通報体制が未確立・不備。安全管理体制に欠陥。,資格の確認、厳守。作業に則した計画、指導。用途外使用禁止の表示。作業前に坂路点検。敷鉄板を行うなど走行に支障がないよう堅固な通路にする。ＫＹ活動当日の作業内容に基づく内容、作業員に周知徹底、掲示して見える化を図る。作業に応じ誘導員配置。
847,農業農村整備,土木一式,農業農村整備工事,農業農村整備工,労働災害,工具等取り扱い,晴,2021年5月11時,北海道,トラフをエンジンカッターで切断する作業を開始。トラフ部材内に配置されている配力筋に研削ブレードの上部が接触し、キックバックが発生した際、研削ブレード手元側延長線上の被災者が、跳ね上がった機械を避けることができず、研削ブレードガードに顔面を殴打し負傷した。,エンジンカッター作業において、作業手順書、工具取扱説明書に基づき、研削ブレードの手元側の延長線上に立たないこと、研削ブレード上部を使用しないことについて、作業員が本来とるべき措置を行わなかったことにより、事故が発生した。,切断作業時の姿勢として、研削ブレードの手元側延長線上に立たない。切断作業時におけるキックバックゾーンでの切断禁止。作業手順書に追記し、改めて作業員に周知を行った。
848,砂防・地滑り,とび・土工・コンクリート,法面工事,法面工,労働災害,工具等取り扱い,曇り,2021年5月8時,山口県,樹木の幹を片手用チェーンソーを使用し切断した際、切断した樹木が倒れかかり、チェーンソーを持っていた右手側にあたり、その反動で左手の甲に刃が接触し負傷した。,下方向に民家があり、切断する樹木を少しでも短くするために手を上方向に伸ばし作業を行った際に、周辺の樹木とかずらがからまっており切断した樹木が予想外の方向に倒れかかり、体勢も悪かったため、倒れかかった樹木に対応できなかった。,
849,建築,建築一式,建築一式工事,建築一式工（１）,労働災害,工具等取り扱い,曇り,2021年5月11時,滋賀県,基礎の斫り工事作業中に斫る場所を移動しようと工具を上げた際、勢いよく工具が跳ね上がり、鉄骨と工具の間に挟まった。,基礎斫り作業中、意図せず機械のスイッチが入り挟まった。,受注者が労働災害再発防止協議会を開催し発生原因・今後の対策等を協議。
850,その他,,,,労働災害,その他,雨,2021年5月13時,岩手県,刈草集積作業中、傾斜地に居る作業員に休憩時の飲み物を渡しに行き、自分の持場に戻るために傾斜地を降りていた際、足を滑らせ仰向けで転倒し傷した。,前日も雨が降っていた状態で作業したが、滑るようなことが無かった為、当日の現場の確認をせず作業を行っていた。また、被災者が転倒した場所に設置されていた親綱は次工程の場所に移設していて設置されていない場所を移動してしまった。,事故の発生を受けて受注者は、負傷者も含めた作業員全員による緊急の安全教育を実施し、今回の事故原因や注意点・再発防止策の周知について認識を共有し、作業時の安全管理をより徹底した。
851,道路,舗装,アスファルト舗装工事,アスファルト舗装工,労働災害,建設機械等の転倒、下敷、接触、衝突等,,2021年5月8時,宮崎県,,,
852,道路,土木一式,コンクリート構造物工事,橋梁下部工(橋台､橋脚),労働災害,建設機械等の転倒、下敷、接触、衝突等,晴,2021年5月22時,静岡県,舗装復旧作業を実施していた。重機運転者が路床高調整を行う為、作業をしたところ、重機が監理技術者と接触し負傷させた。,重機オペレーターが、重機の進行方向の安全確認を行わず移動してしまった。誘導者と重機オペレーターとの意思疎通が出来ておらず、重機の動きが把握できなかった。,重機運転者は運転席に乗込む前に重機の周囲を確認し、確認したことを誘導者に合図を送り伝える。誘導者は重機の進行方向にて安全を確認し、誘導合図を出す。重機運転者と誘導者は作業手順を確認後、重機運転者から進行方向を指差し、誘導者に伝える。作業員は、事前に作業を実施している者に声かけを行い、作業を開始する。
853,道路,土木一式,その他土木一式工事,その他土木一式工,第三者災害,その他,晴,2021年5月14時,千葉県,側溝設置のための掘削を行っていた。給水管の位置は把握しており、それを避けながらバックホウにて作業を行っていたが、給水管近くを掘削する際に誤ってバケットを接触させてしまい、給水管の留め具が外れ、漏水した。,給水管の留め具の締まりを確認せず、重機を使って掘削を行った。,
854,河川,維持修繕,維持修繕工事,維持修繕工,労働災害,その他,晴,2021年5月9時,北海道,堤内排水路法肩部を肩掛け式仮払機で除草中に法肩平場の不陸に足を取られ転倒し、負傷した。,地形が変化する堤内排水路法肩を通行した為と思われ、足場の確保が不十分だった。,発注者・受注者で現地事故調査会を実施し、事故現場の状況を確認し、事故原因の技術的分析、再発防止対策を実施した。
855,河川,土木一式,護岸工事,護岸工,労働災害,飛来、落下,,2021年5月9時,兵庫県,バックホウにて左岸堤防より連節ブロックをワイヤーで吊り河床に仮置きする作業中にブロックが複数落下し被災者が負傷した。,河床にてそのワイヤーをブロックから外している最中に、別の仮置きしていたブロックの固定バンドが切れた。,
856,河川,維持修繕,維持修繕工事,維持修繕工,第三者災害,建設機械等の転倒、下敷、接触、衝突等,晴,2021年5月10時,島根県,構造物撤去後に床掘の仕上げ作業を行っていたところ、撤去した構造物と離隔のない場所あった給水管に気付かず、バケットの爪の先がひっかかり切断した。,水道管を管理者台帳で確認していたが、詳細な位置は不明にも関わらず目視確認を怠っため、現場では思い込みにより事故が発生した。,
857,河川,土木一式,護岸工事,護岸工,労働災害,その他,晴,2021年5月11時,山形県,小口止打設中、被災者が型枠の上に乗りホッパーを操作中にバランスを崩し足を滑らせ平地に飛び跳ねた時に負傷した。,クレーン使用バックホウオペレーターと被災者間での合図確認不足。,特になし
858,河川,土木一式,築堤工事,築堤工,第三者災害,建設機械等の転倒、下敷、接触、衝突等,晴,2021年6月8時,東京都,工事車両出入口において、ダンプトラックが進入時、出入口箇所に車止めがあり道路幅員が狭い状態であった為、斜めに進入し右側ガードレールと接触しないように左側にハンドルをきって走行した際、内輪差でダンプトラックが車止めに接触した。,事故発生前は、車両通行時は車止めを全て外して車両誘導していた。鍵を所持している誘導員が休工の為不在で、鍵の開閉ができない状態であった。事故発生時に担当した誘導員は車止め全て外さなくとも車両誘導可能と判断した結果、車両と車止めが接触し車止めを破損させた。,車両通行時は、車止めをすべて抜く。誘導員の指示に従うだけでなく、自らの目で安全確認を行う。車両通行時は、車止めをすべて抜く。誘導員同士の連絡を密に行うよう指導。作業前に職員による鍵の開閉確認実施。
859,河川,土木一式,ＰＣ橋上部工事,"床版橋,桁橋工",労働災害,墜落,晴,2021年6月8時,大分県,足場解体後、橋台上の残材の確認を行うために、橋台上をのぞき込んでいた。その際、手をついていたブロック擁壁が一部倒壊し、その反動で体勢を崩し、下の施工ﾔｰﾄﾞに滑落した。,危険個所への立ち入りが可能であった。ブロックが倒壊しないという思い込みがあった。無理な体制でのぞき込みに行った。,高所作業時は安全帯を設置するなど安全対策の徹底を指示。安全な箇所からの確認を行うよう指示。また、転落のおそれがある箇所については、立入禁止措置を行うよう指示。
860,道路,土木一式,その他土木一式工事,その他土木一式工,労働災害,墜落,,2021年6月14時,和歌山県,,,
861,電気,電気,電気工事,建築電気設備工,第三者災害,電気,曇り,2021年6月15時,群馬県,受変電設備の点検で停電作業を開始したところ、近隣で波及事故が発生しているため当該設備を確認。短絡接地器具が引込盤に設置されたままであった。その後、短絡接地器具を撤去し、PASを開放したため、当該排水機場を除く需要家に再送電を実施した。,管理技術者の現場退出時における指示・伝達等の引継ぎ不足。作業責任者の思い込み・指示不足作業手順書の未遵守があった。作業責任者の思い込みによる誤投入。ＰＡＳ投入時において確認必要箇所への人員が未配置。,作業員の経験年数等を考慮し、適正な人員配置を行う。最終確認は点検責任者が、点検責任者がいない場合は作業責任者が必ず実施する。管理技術者は、最後まで現場に常駐することを原則とするが、やむを得ず、現場を離れる際は、引継者を明確にし、作業手順書をもって引継ぎを行い、作業手順書に手書きで氏名者を記載し、作業員全員に周知を図る。機器を再操作する場合は、「思い込み操作」を行わず、故障や事故が発生している可能性を念頭に置き、各種アラーム・計器を確認し安全の確認を実施した後に再操作を実施する。
862,建築,建築一式,建築一式工事,建築一式工（１）,第三者災害,自動車の転倒、下敷、接触、衝突等,雨,2021年6月16時,茨城県,仮設資材の運搬作業を実施していたユニック車が、現場事務所駐車場から機場場内に戻る際、ユニック車のブーム並びにワイヤー・フックを格納せず走行し、バス発着場入口前のフェンスに引っ掛けて損傷、その反動でガードレールに接触した。また、フェンス倒壊時に付近の樹木並びに電柱支柱用ワイヤーを損傷した。,作業当日は雨天時の作業であり、注意力が散漫していた事、ユニック車を使用する作業手順の確認不足があったこと、運搬作業後でなければ作業が実施できない鉄板引き下げ作業が控えており、気持ちに焦りが出てしまった。,臨時安全点検を実施。災害防止協議会を実施。
863,河川,土木一式,その他土木一式工事,その他土木一式工,労働災害,工具等取り扱い,,2021年6月14時,京都府,伐竹材の集積作業中に、刈り残しをチェーンソウにて切り倒した後、エンジンがかかった状態で、移動しようとしたために発生したもので、負傷した。,作業サイクルとして午前中は伐木および伐竹作業を行い午後は集積および積込搬出を行っていて、伐木後の集積作業中に発生しており、伐木時は防護ズボンは着用していなかった。また、場所も法面であった。,
864,港湾,土木一式,港湾・空港・海洋埋立工事,プレキャスト部材制作,第三者災害,自動車の転倒、下敷、接触、衝突等,晴,2021年6月15時,秋田県,敷砂利作業をするため、現場内に大型ダンプトラックにて砕石場より運搬、荷下ろし砕石敷均し作業を繰り返し行っていた。運搬してきたダンプトラックを誘導し、荷下ろし後、ダンプトラックが荷台を上げたまま走行し、架空線に接触し、配線を切断損傷をしてしまった。,運搬経路の危険個所などの周知が足りなかった。運転手は経験豊富であったが、日々の作業内容の確認等の周知が足りなかった。,入場ゲートを設置し現場内の搬入経路を明確化した。安全標識を設置し現場内危険個所を可視化した。
865,道路,土木一式,その他土木一式工事,その他土木一式工,労働災害,その他,曇り,2021年6月11時,茨城県,伐倒作業において、当該立木が予定した伐倒方向ではなく被災者側へ倒木し始めた、被災者はチェーンソーを引き抜いて逃げようとしたが、抜けずに逃げ遅れたため、倒れた木に跳ね飛ばされ被災した。,立木の伐倒には、適当な深さの追い口と適切な幅の切り残しを確保することが義務付けられているが守られていなかった。被災者は奥側もつるはあると思い込み作業を継続した。緊急時に退避する時は作業用具をその場に置いたまま退避せよと指導をうけていたが、チェーンソーが噛んで抜けず逃げ遅れた。被災者は、受講が必要な追加講習が未受講だった。,作業員の資格者証を本社と現場で二重に再確認しチェックを行う。関係法令改正の情報を随時、現場へ周知することとした。伐木作業における待避方法の教育として、作業手順書の外に、待避等の詳細について詳細手順書を作成した。本社安全社員が、個別に現場社員へ詳細手順書の教育を行い、現場巡回者に意識付けを行った。新規入場やＫＹ活動において、伐倒方向を指差喚呼し待避方向を意識付けした。伐木作業における危険防止の教育として、詳細作業手順書に記載した、切り残し幅の目印付けを作業員に教育し徹底させる。待避方法、切り残し幅の目印、作業手順などのポスターを休憩所に貼り出しルールの見える化を行った。
866,道路,土木一式,その他土木一式工事,その他土木一式工,労働災害,墜落,晴,2021年6月0時,大分県,トンネルのはつり深さ検査後、高所作業車の作業台から降りるとき、昇降階段から足を滑らせ転倒し負傷した。,足元がやや暗くトンネルの漏水で滑りやすかった。昇降階段を降りるとき車両に背を向けて降りた。又、昇降階段の一部に滑り止めがついていなかった。,高所作業車に照明を追加する。昇降の際は、昇る状態と同じ態勢で降りる。
867,砂防・地滑り,とび・土工・コンクリート,法面工事,法面工,労働災害,工具等取り扱い,,2021年6月11時,和歌山県,,,
868,港湾,土木一式,港湾・空港・海洋埋立工事,外郭施設,労働災害,飛来、落下,晴,2021年6月11時,北海道,防波堤を延伸するため、ケーソンの据付作業を行っていた。被災者は既設ケーソン上にてウインチ作業をしていたところ、外港側の引き込みワイヤーが破断し跳ね返りによって、飛んできたワイヤーが接触して負傷した。,ケーソン据付作業にあたり、作業手順書・危険予知活動・施工計画書等の留意事項を共有して安全対策を図っていた。被災者は港外側の引き込みワイヤーのウインチ操作を担当ていたが、想定外のケーソン動揺により、港外側の引き込みワイヤーロープに荷重が作用して破断したことが要因で、跳ね返りにより被災者に接触したものと考える。また、作業員を防御するための安全対策の配慮が不足していた。,ケーソンの動揺等で、ワイヤーロープが緊張し大きな引張力が作用した場合は、ロープの緊張を緩和するため、ブレーキは使用せず、ウインチの送り出し操作を行うよう作業手順書に明記し、作業員に作業手順書を周知徹底させる。
869,道路,土木一式,護岸工事,護岸工,労働災害,墜落,,2021年6月10時,熊本県,,,
870,下水道,土木一式,管渠推進工事,管渠推進工,もらい事故,自動車の転倒、下敷、接触、衝突等,晴,2021年6月13時,滋賀県,片側交互通行の規制時に、バイクの運転者がガードマンの停止合図に気づかず、止まらず直進しガードマンに接触し転んだ。,バイク運転手の前方不注意。,今後も設置看板や誘導員の安全対策の徹底を行う。
871,建築,建築一式,建築一式工事,建築一式工（１）,労働災害,その他,,2021年6月16時,和歌山県,,,
872,道路,土木一式,その他土木一式工事,その他土木一式工,労働災害,その他,,2021年6月9時,和歌山県,,,
873,道路,舗装,アスファルト舗装工事,アスファルト舗装工,労働災害,取扱運搬等,晴,2021年6月11時,神奈川県,照明灯基礎設置の為、掘削作業をバックホウで作業していたが、地盤が固かった為、バケットの爪を平爪から通常の爪に交換する作業を実施した。ハンマーを使用して楔を打ち付ける際、土または小石と思われる異物が飛散し当たった。,異物が飛散すると思っていなかった為、保護具を着用していたが、使用しなかった。また、爪交換作業が作業変更という認識が無かった為、元請職員に報告せず作業を実施した。,バケットの爪を交換する際は、土・小石が飛散しないよう十分清掃し職長が確認する。爪交換時には十分な反力が得られるよう必ず接地した状態で作業をおこなう。部品の交換など、非定常作業についても作業手順書を作成し指導をおこなう。
874,上水・工業用水,水道施設工事,上水・工業用水道工事,浄水場施設工,労働災害,飛来、落下,曇り,2021年6月10時,宮城県,掘削土留内で既設管下部の防護コンクリートのはつり作業中に、コンクリート塊が落下転倒し、コンクリート塊と掘削底面挟まり負傷した。,既設管と防護コンクリートの接着力が強いと思いこみ、落下に対する注意が散漫であった。大口径管路を挟んで、同時に作業をしていたとともに、監視人が地上におり、連絡・合図の声が届きにくかった。コンクリート塊が落下する危険性があるとの知識・教育が不十分だった。また、作業前ミーティングでも作業の危険性を共有しておらず、安全指示が不適切であった。,掘削毎にハツリ作業を完了させる。防護コンクリート落下転倒防止を講じる。・ハツリ作業，その後方に監視人の体制で交代で行い，別途地上に監視人を配置する。
875,道路,土木一式,その他土木一式工事,その他土木一式工,第三者災害,工具等取り扱い,晴,2021年6月16時,青森県,歩道において除草作業を進めていた。その際、最後尾で作業をしていた作業員が電動車いすに搭乗して作業箇所を通り抜けようとした被害者に気付かず作業を続けたため、刈払機の刃が被害者に接触して負傷させた。,バス停が死角となって通行人の進入を制止することが出来なかった。,誘導員を作業帯の前後に配置して、歩行者誘導に専念させる。監視員は歩行者がある場合は作業を一時中止させ、安全に歩行者を通行させる。矢印板、カラーコーン＋注意表示板にて第三者に注意喚起をする。区間単位での作業とする。監視員、誘導員は笛を携帯する。
876,建築,建築一式,建築一式工事,建築一式工（１）,労働災害,その他,晴,2021年6月10時,熊本県,軽鉄材の荷揚げ作業中、バンドが捻じれたため、ウインチの上昇を止めたが、荷上げ材が足場ネットに引っ掛かり、その材の下部が跳ねた。同時に状況を確認しようと被災作業員が顔を出した際、跳ねた軽鉄材が回転し下部作業員（被災者）の頭部に当たった。,バンドが捻じれている事を事前に確認できていなかった事。バンド固定後、退避した場所が荷揚げ状況を目視できる場所ではなかった事。ウインチが停止していない状態で、退避場所から荷上げ場所へ顔を出した事。,関連工事の全作業員への注意喚起及び荷揚げ作業体制の見直し。監督員による再発防止策の実施状況確認。
877,建築,建築一式,建築一式工事,建築一式工（１）,労働災害,墜落,曇り,2021年6月10時,富山県,鉄筋工が基礎鉄筋を荷振り作業中、ワイヤーを外しに下へ降りる祭、昇降階段でバランスを崩し負傷した,単独で荷振り作業をしていて慌てた。,朝礼・KY活動時に、作業中は慌てず周囲・足元を確認し、飛び降り行動を行わないよう指導。
878,砂防・地滑り,とび・土工・コンクリート,法面工事,法面工,第三者災害,自動車の転倒、下敷、接触、衝突等,晴,2021年6月13時,兵庫県,工事用道路の坂道部で車両を駐車させ、運転手が下車後駐車車両が後退して走り出し倉庫に突っ込んだ。,坂道の途中でダンプトラックを駐車し、サイドブレーキによる駐車のみで車両を離れたこと。危険だと分かっていたのに短時間なので大丈夫だろうとチェンジを入れず車両を離れたこと。,今後の再発防止のため、サイドブレーキを徹底、車止めを設置する等、対策を講じる。
879,道路,土木一式,トンネル工事,ＮＡＴＭ、矢板トンネル、ＴＢＭ,労働災害,墜落,,2021年6月16時,長崎県,,,
880,道路,土木一式,水路・管路工事,ボックスカルバート・管路工,労働災害,建設機械等の転倒、下敷、接触、衝突等,晴,2021年6月11時,沖縄県,作業員が土留壁内で埋戻し箇所を振動ローラーにて転圧作業を行っていたが後進時にスロープ内の切梁に頭部を接触しローラー運転席から地面へ転落した。レバーが前進に変わり無人のまま前方のバックホウに追突し、近くで作業していた作業員がローラーを停止させた。,作業員の後方確認不足、立入禁止措置の不備、誘導員の未配置。,梁下の転圧作業はハンドガイド式ローラーを使用する。埋戻し作業箇所への誘導員の配置。切梁、ブラケット等への緩衝材の設置。
881,道路,造園,造園工事（余暇施設を含む）,造園工（余暇施設を含む）,第三者災害,建設機械等の転倒、下敷、接触、衝突等,曇り,2021年6月11時,東京都,高所作業車を設置し、隣の樹木との隙間から歩道側にブームを差し込み剪定を始めたが、ブームを下げた際に近接した位置にあった信号機の黄色信号の庇にブームが接触、これを損傷した。車道側でブームやバケットの動きを監視していた作業員が信号機に接触しそうになって合図を送ったが、間に合わずに接触した。,現場は高所作業車による剪定は困難な環境にあり、作業方法を木登りに変更すべきだった。合図を送った監視員は枝葉の片付と高所作業車のブーム監視、構造物監視を単独で任っており、作業員数が不足していた。高所作業車のブーム等を動かす際のオペレーターと監視員の確認や合図のルールが明確に定められていなかった。監視員は声で合図を送っており、細かい情報伝達が行いにくい状態だった。,高所作業車のブームやバケットを監視する者とは別に、周辺構造物を監視する者を配置し、それぞれの目線から細やかな注意喚起を行う。役割分担・作業配置図を作成し、それぞれの役割分担を明確にする。周辺構造物がある箇所における高所作業車のブームやバケットを動作する時のルール、及び監視員の合図の内容や合図を送るタイミングのルールをはっきりさせて、情報共有の不備による災害発生を防止する。監視員とオペレーター間の密な情報伝達を確実にするため、トランシーバーを使用する。
882,河川,土木一式,その他土木一式工事,その他土木一式工,労働災害,墜落,晴,2021年6月13時,佐賀県,作業のための取付作業が完了。降りるために安全帯のフックを掛替して墜落。,ハンマーを使い傘くぎで量水標を固定する作業をおこなっており、その際に道具を入れるボーチを着けておらず片手にハンマーを持ち不自由なままの降下状態となっていた。なお、最後に梯子を降りる際にその他の作業員が別作業をおこない最後まで監視がなされていなかった。,墜落・転落の恐れがある作業では、足場設置や高所作業車等の使用可能性を検討するとともに足場設置が困難な場合や高所作業車等が使用困難な場合は、安全性の高い手すり付き脚立等を使用する。墜落・転落の恐れがある作業では、1丁掛けではなく2丁掛けの安全帯の使用や安全ブロック等を使用する。主任技術者は墜落防止対策が守られているか作業開始から完了まで監視する。作業時は両手が使えるように工具入れポーチを使用する。この場合、工具には落下防止対策を行う。作業計画書に上記を確実に記載する。現地ＫＹ時は、観測所毎に状況が違うため個別箇所毎に安全対策について確認する。
